# SnoDayNightPrlSpectra.dat
# 
# Data shown in figure 2 of
# nucl-ex/0204009
#
# livetime day   =  128.5 days
#          night =  177.9 days
# 
# bin  Tmin   Tmax    Nday   Nnight
#      (MeV)  (MeV) 
#
  1    5.0    5.5     191    301
  2    5.5    6.0     180    236
  3    6.0    6.5     163    205
  4    6.5    7.0     121    188
  5    7.0    7.5     104    177
  6    7.5    8.0      81    133
  7    8.0    8.5      70     92
  8    8.5    9.0      76    101
  9    9.0    9.5      49     72
 10    9.5   10.0      45     65
 11   10.0   10.5      36     47
 12   10.5   11.0      27     45
 13   11.0   11.5      17     31
 14   11.5   12.0      10     16
 15   12.0   12.5       5     14
 16   12.5   13.0       6     12
 17   13.0   20.0       5      7
