#Predicted spectra of Enu detectable by SNO after including all effects but neutrino oscillations.
#The number of events are for three phases combined and assumes B8 flux of 5.69e6 /cm^2 s.
#From Table XXIII, PHYSICAL REVIEW C 88, 025501 (2013).
#Enu indicates the low boundary.
# Enu [MeV]   CC day   CC night   ES_eday   ES_enight   ES_mtday   ES_mtnight
	2.9					0.0			 0.0				0.0				0.1					0.0			   0.0
	3.0					0.0			 0.0				0.1				0.1					0.0			   0.0
	3.1					0.0			 0.0				0.1				0.1					0.0			   0.0
	3.2					0.0			 0.0				0.1				0.2					0.0			   0.0
	3.3					0.0			 0.0				0.2				0.2					0.0			   0.0
	3.4					0.0			 0.0				0.3				0.3					0.0			   0.1
	3.5					0.0			 0.0				0.4				0.5					0.1			   0.1
	3.6					0.0			 0.0				0.5				0.6					0.1			   0.1
	3.7					0.0			 0.0				0.6				0.7					0.1			   0.1
	3.8					0.0			 0.0				0.8				0.9					0.1			   0.2
	3.9					0.0			 0.1				0.9				1.2					0.2			   0.2
	4.0					0.1			 0.1				1.1				1.5					0.2			   0.2
	4.1					0.1			 0.2				1.4				1.6					0.2			   0.3
	4.2					0.3			 0.3				1.6				2.0					0.3			   0.3
	4.3					0.4			 0.5				1.9				2.4					0.3			   0.4
	4.4					0.6			 0.8				2.2				2.7					0.4			   0.4
	4.5					1.0			 1.2				2.5				3.1					0.4			   0.5
	4.6					1.4			 1.8				2.8				3.5					0.5			   0.6
	4.7					2.0			 2.7				3.1				3.9					0.5			   0.6
	4.8					2.8			 3.6				3.5				4.5					0.6			   0.7
	4.9					3.8			 4.8				3.9				4.8					0.6			   0.8
	5.0					4.9			 6.3				4.4				5.3					0.7			   0.9
	5.1					6.4			 8.0				4.7				5.9					0.8			   1.0
	5.2					8.0			 10.2				5.2				6.4					0.8			   1.0
	5.3					10.0		 12.7				5.7				6.9					0.9			   1.1
	5.4					12.3		 15.5				6.1				7.6					1.0			   1.2
	5.5					14.5		 18.7				6.6				8.1					1.0			   1.3
	5.6					17.4		 22.1				7.1				8.8					1.1			   1.4
	5.7					20.3		 26.1				7.5				9.2					1.2			   1.5
	5.8					23.4		 29.9				8.0				9.9					1.3			   1.6
	5.9					26.9		 34.3				8.4				10.4			  1.3			   1.7
	6.0					30.8		 39.0				9.0				11.2			  1.4			   1.8
	6.1					34.5		 44.0				9.6				11.8			  1.5			   1.9
	6.2					38.5		 49.2				10.0		  12.4			  1.6			   2.0
	6.3	 		 		42.5		 54.0			  10.6		  13.1			  1.7			   2.1
	6.4				  47.3		 59.4			  11.0		  13.6			  1.8			   2.2
	6.5				  51.5		 65.7			  11.5		  14.3			  1.8			   2.3
	6.6				  56.3		 71.8			  12.1		  15.0			  1.9			   2.4
	6.7				  61.3		 77.2			  12.5		  15.5			  2.0			   2.5
	6.8				  66.2		 83.1			  13.1		  16.3			  2.1			   2.6
	6.9				  70.5		 89.9			  13.6		  16.6			  2.2			   2.7
	7.0				  75.7		 96.7			  14.1		  17.5			  2.3			   2.8
