#Observed and expected event rates in each energy bin at 1AU. Unit:events/kton/year.
#The errors are statistical only.
#Expected event rates are for BP2004 SSM flux values(5.79e6 for B8 and 7.88e3 for hep. Unit:/cm^2/sec)
#Revised in SK4. Here use revised values.
#
#Energy[MeV]                    Observed rate                           Expected rate  
#           All                 Day                 Night               B8    hep
5.0		5.5		82.3	10.3	-9.9		93.4	15.7	-14.9		72.6	13.7	-13.0		189.7	0.334
5.5		6.0		66.4	6.4		-6.1		73.7	9.8		-9.3		59.9	8.4		-7.9		172.2	0.321
6.0		6.5		62.9	4.9		-4.7		55.3	7.0		-6.5		70.4	7.1		-6.7		155.2	0.310
6.5		7.0		54.8	2.7		-2.6		50.8	3.8		-3.7		58.7	3.8		-3.7		134.3	0.289
7.0		7.5		53.8	2.5		-2.4		55.6	3.6		-3.5		52.1	3.5		-3.3		117.1	0.271
7.5		8.0		40.4	2.2		-2.1		39.6	3.1		-3.0		41.1	3.1		-2.9		101.2	0.257
8.0		8.5		36.4	1.9		-1.8		37.2	2.7		-2.6		35.7	2.6		-2.5		85.8	0.240
8.5		9.0		30.5	1.7		-1.6		28.4	2.3		-2.2		32.6	2.4		-2.2		71.7	0.223
9.0		9.5		22.4	1.4		-1.3		19.8	1.9		-1.8		24.9	2.1		-1.9		58.5	0.205
9.5		10.0	19.1	1.2		-1.2		17.7	1.7		-1.6		20.3	1.8		-1.7		47.1	0.186
10.0	10.5	14.3	1.0		-1.0		15.0	1.5		-1.4		13.6	1.4		-1.3		37.0	0.169
10.5	11.0	13.7	1.0		-0.9		14.7	1.4		-1.3		12.9	1.3		-1.2		28.5	0.151
11.0	11.5	9.41	0.79	-0.73		9.36	1.17	-1.03		9.44	1.11	-0.98		21.45	0.134
11.5	12.0	5.63	0.64	-0.57		5.24	0.90	-0.76		6.04	0.94	-0.81		15.76	0.118
12.0	12.5	4.91	0.57	-0.50		4.08	0.79	-0.66		5.69	0.85	-0.73		11.21	0.102
12.5	13.0	3.03	0.44	-0.38		2.67	0.61	-0.49		3.38	0.65	-0.53		7.79	0.088
13.0	13.5	1.92	0.35	-0.29		1.59	0.47	-0.35		2.25	0.55	-0.43		5.22	0.074
13.5	14.0	1.32	0.29	-0.23		1.13	0.39	-0.27		1.48	0.47	-0.35		3.39	0.062
14.0	15.0	2.15	0.36	-0.30		2.00	0.51	-0.40		2.31	0.53	-0.42		3.49	0.092
15.0	16.0	0.832	0.234	-0.175	0.381	0.289	-0.158	1.208	0.385	-0.275	1.227	0.059
16.0	20.0	0.112	0.130	-0.064	0.244	0.238	-0.117	0.000	0.123	-0.401	0.513	0.068
