4.0   4.5     0.0772	-0.0428	 	0.1522	-0.1378  	0.2222	-0.2077
4.5   5.0   	0.0417	-0.0183	 	0.1716	-0.1683  	0.1166	-0.1133
5.0   5.5   	0.0361	-0.0089	 	0.1960	-0.2138  	0.0100	-0.0239
5.5   6.0   	0.0756	-0.0344	 	0.2255	-0.2294  	0.1056	-0.0994
6.0   6.5   	0.075 	-0.0699	 	0.2450	-0.2199  	0.2300	-0.2749
6.5   7.0   	0.1245	-0.0905	 	0.2344	-0.2305  	0.3894	-0.4104
7.0   7.5   	0.1489	-0.131	 	0.2339	-0.241   	0.5688	-0.5909
7.5   8.0   	0.1833	-0.1466	 	0.2383	-0.2066  	0.7532	-0.7714
8.0   8.5   	0.2328	-0.1921	 	0.1578	-0.1721  	0.9626	-0.9919
8.5   9.0   	0.2422	-0.2327	 	0.1373	-0.1277  	1.1920	-1.2074
9.0   9.5   	0.2967	-0.2682	 	0.0717	-0.0483  	1.4664	-1.4629
9.5   10.0   	0.3361	-0.2887	 	0.0712	-0.0537  	1.7458	-1.7584
10.0  10.5   	0.3855	-0.3343	 	0.2106	-0.2093  	2.0701	-2.0688
10.5  11.0   	0.435 	-0.3598	 	0.4000	-0.4048  	2.4095	-2.4043
11.0  11.5   	0.4644	-0.4253	 	0.6694	-0.6703  	2.8039	-2.7948
11.5  12.0   	0.5339	-0.4709	 	0.9888	-0.9907  	3.2282	-3.1952
12.0  12.5   	0.6133	-0.4914	 	1.4281	-1.4212  	3.6825	-3.6306
12.5  13.0  	0.6977	-0.537	 	1.9324	-1.9366  	4.1869	-4.0961
13.0  13.5   	0.7672	-0.5725	 	2.5868	-2.567   	4.7262	-4.5965
13.5  14.0  	0.9016	-0.593	 	3.3310	-3.2874  	5.2855	-5.1069
14.0  15.0  	1.0707	-0.6089	 	4.7648	-4.6729  	6.2294	-5.9475
15.0  16.0   	1.3296	-0.595	 	7.2531	-6.9783  	7.5830	-7.1483
16.0  20.0  	1.5767	-0.4778	 	11.8242	-10.9401	9.5447	-8.8307
