# [Name]                 [Latitude]             [Longitude]            [Power]
#Power is thermal power in GW
#This file is prepared by Linyan Wan 
BRUCE-1                 44.325278              -81.599444             2.575
BRUCE-2                 44.325278              -81.599444             2.456
BRUCE-3                 44.325278              -81.599444             2.832
BRUCE-4                 44.325278              -81.599444             2.832
BRUCE-5                 44.325278              -81.599444             2.832
BRUCE-6                 44.325278              -81.599444             2.690
BRUCE-7                 44.325278              -81.599444             2.832
BRUCE-8                 44.325278              -81.599444             2.690
DARLINGTON-1	        43.872778              -78.719722             2.776 
DARLINGTON-2	        43.872778              -78.719722             2.776
DARLINGTON-3	        43.872778              -78.719722             2.776
DARLINGTON-4	        43.872778              -78.719722             2.776
PICKERING-1             43.811667              -79.065833             1.744
PICKERING-4             43.811667              -79.065833             1.744
PICKERING-5             43.811667              -79.065833             1.744
PICKERING-6             43.811667              -79.065833             1.744
PICKERING-7             43.811667              -79.065833             1.744 
PICKERING-8             43.811667              -79.065833             1.744
POINT_LEPREAU           45.068889              -66.454722             2.18
CEFR                    39.740929              116.030139              0.065
CHANGJIANG-1            19.46075               108.899917              1.93
CHANGJIANG-2            19.46075               108.899917              1.93
DAYABAY-1               22.597222              114.544444              2.9
DAYABAY-2               22.5953                114.5431                2.9
FANGCHENGGANG-1         21.666667              108.566667              2.9
FANGCHENGGANG-2         21.666667              108.566667              2.9
FANGJIASHAN-1           30.441342              120.941758              2.9
FANGJIASHAN-2           30.441342              120.941758              2.9
FUQING-1                25.445833              119.447222              2.9
FUQING-2                25.445833              119.447222              2.9
FUQING-3                25.445833              119.447222              2.9
FUQING-4                25.445833              119.447222              2.9
HAIYANG-1               36.708333              121.383333              3.451
HAIYANG-2               36.708333              121.383333              3.451
HONGYANHE-1             39.795833              121.480556              2.9
HONGYANHE-2             39.795833              121.480556              2.9
HONGYANHE-3             39.795833              121.480556              2.9
HONGYANHE-4             39.795833              121.480556              2.9
LINGAO-1                22.604789              114.551489              2.9
LINGAO-2                22.604789              114.551489              2.9
LINGAO-3                22.604789              114.551489              2.9
LINGAO-4                22.604789              114.551489              2.9
NINGDE-1                27.044444              120.283333              2.9
NINGDE-2                27.044444              120.283333              2.9
NINGDE-3                27.044444              120.283333              2.9
NINGDE-4                27.044444              120.283333              2.9
QINSHAN2-1              30.433056              120.95                  1.93
QINSHAN2-2              30.433056              120.95                  1.93
QINSHAN2-3              30.433056              120.95                  1.93
QINSHAN2-4              30.433056              120.95                  1.93
QINSHAN3-1              30.433056              120.95                  2.064
QINSHAN3-2              30.433056              120.95                  2.064
QINSHAN1                30.433056              120.95                  0.966
SANMEN-1                29.101111              121.641944              3.4
SANMEN-2                29.101111              121.641944              3.4
SHIDAOBAY-1             36.4                   118.4                   0.5
TAISHAN-1               21.917778              112.981944              4.59
TAISHAN-2               21.917778              112.981944              4.59
TIANWAN-1               34.686944              119.459722              3.00
TIANWAN-2               34.686944              119.459722              3.00
